Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Spring,2021,77,LING,100,20,18,9,10,5,1,5,1,2,1,2,0,3,0,Intro to Language Science,"Green, Jeffrey J",3.3288311688311687
Summer,2011,262,PSYC,216,0,81,0,0,98,0,0,48,0,0,22,0,11,2,Child Psych,"Fisher, Cynthia L",2.830769230769231
Spring,2022,34,ADV,483,0,1,4,7,8,7,3,2,0,0,2,0,0,0,Audience Analysis,"Taneja, Harsh",2.8726470588235293
Fall,2017,38,ACCY,505,1,5,13,13,2,3,0,0,0,0,0,1,0,0,Federal Taxation,"Chatterton, Angel",3.412631578947368
Fall,2013,21,PHIL,103,1,5,5,0,0,4,1,0,3,1,1,0,0,0,Logic and Reasoning QR II,"Alsup, Clayton",2.9857142857142853
Fall,2010,35,EPS,402,1,24,6,1,3,0,0,0,0,0,0,0,0,0,Asian American Education,"Pak, Yoon K",3.8385714285714285
Fall,2010,28,CHLH,304,7,10,4,3,1,0,1,0,0,0,0,0,2,0,Foundations of Health Behavior,"Farner, Susan M",3.5
Fall,2012,28,HIST,130,0,5,8,9,3,0,1,1,0,0,0,0,1,0,History of South Asia,"Ali, Tariq O",3.309285714285714
Fall,2019,605,CS,105,86,134,87,67,72,32,26,37,14,12,10,10,14,4,Intro Computing: Non-Tech,"Harris, Albert F",3.185457570715475
Fall,2021,522,CS,101,112,264,48,31,16,9,10,7,5,4,2,2,10,2,Intro Computing: Engrg & Sci,"Davis, Neal E",3.672557692307692
Spring,2014,23,ECE,343,0,18,1,1,1,1,0,0,0,0,0,0,1,0,Electronic Circuits Laboratory,"Radhakrishnan, Chandrasek",3.681304347826087
Summer,2022,21,LLS,100,2,3,7,1,0,0,2,0,2,0,0,0,4,0,Intro Latina/Latino Studies,"Garcia, Brenda G",2.715238095238095
Fall,2017,90,ECE,411,4,8,20,12,15,12,9,4,1,0,1,2,2,0,Computer Organization & Design,"Kim, Nam Sung",3.0153333333333334
Fall,2018,31,ECON,500,4,5,6,7,3,5,0,1,0,0,0,0,0,0,Microeconomics,"Krasa, Stefan",3.409032258064516
Spring,2010,23,ANSC,250,0,9,0,0,9,0,0,3,0,0,2,0,0,0,Companion Animals in Society,"Fischer-Brown, Amy E",3.0869565217391304
Fall,2014,276,THEA,101,59,91,53,32,11,11,4,5,1,0,4,1,3,1,Introduction to Theatre Arts,"Morrissette, Jason W",3.5967272727272723
Fall,2014,23,ECE,452,7,4,5,2,3,2,0,0,0,0,0,0,0,0,Electromagnetic Fields,"Chew, Weng C",3.6239130434782614
Fall,2017,25,LAS,101,7,7,5,1,1,1,0,0,1,1,0,1,0,0,Freshman Seminar,"Soranso, Murillo S",3.4808
Fall,2019,26,LA,250,5,0,7,3,5,0,4,1,1,0,0,0,0,0,Environmental Site Analysis,"Champagne, Alexandre H",3.2180769230769233
Summer,2019,90,ACCY,200,6,17,16,11,9,12,5,4,3,4,1,0,1,1,Fundamentals of Accounting,"Silhan, Peter A",3.1165168539325836
Summer,2011,51,SOC,373,1,18,7,5,8,7,2,1,1,0,0,0,1,0,Social Stratification,"Mendenhall, Ruby",3.3207843137254898
Spring,2020,40,BADM,211,0,16,8,8,3,4,0,1,0,0,0,0,0,0,Business Analytics II,"Guggenheim, David R",3.5420000000000003
Fall,2010,25,PHIL,103,0,3,5,3,5,4,1,0,0,0,2,1,1,0,Logic and Reasoning QR II,"Tomaszewski, Christopher",2.8408
Spring,2019,297,ADV,150,47,149,17,12,58,2,2,2,1,0,1,1,4,1,Introduction to Advertising,"Hall, Steven R",3.640844594594595
Fall,2012,31,CS,173,1,5,2,3,7,4,2,2,0,2,2,1,0,0,Discrete Structures,"Fleck, Margaret M",2.8064516129032255
Spring,2015,38,FIN,221,0,7,3,2,16,1,1,3,3,0,2,0,0,0,Corporate Finance,"Kim, Yongjun",2.938947368421053
Fall,2012,25,MACS,101,2,13,7,2,1,0,0,0,0,0,0,0,0,0,Intro to the Media,"Troger, Mandy",3.8139999999999996
Fall,2013,74,IB,360,0,29,0,1,34,0,1,7,1,0,1,0,0,0,Evolution and Human Health,"Sears, Karen",3.2477027027027026
Fall,2010,23,CMN,496,0,4,7,4,2,2,3,1,0,0,0,0,0,0,Adv Topics in Communication,"Wright, Trina J",3.275652173913043
Spring,2014,37,BADM,350,0,27,8,2,0,0,0,0,0,0,0,0,0,0,IT for Networked Organizations,"Tu, Yuju",3.892432432432433
Fall,2012,28,FSHN,349,0,9,13,5,1,0,0,0,0,0,0,0,0,0,Food Service Sanitation,"Reutter, Elizabeth F",3.6914285714285717
Spring,2010,21,ANSC,250,0,11,0,0,7,0,0,3,0,0,0,0,0,0,Companion Animals in Society,"Fischer-Brown, Amy E",3.380952380952381
Spring,2020,66,PS,201,10,13,16,4,5,5,1,3,7,0,0,0,2,0,US Racial & Ethnic Politics,"Chu, Yuan-Ning",3.2183333333333333
Fall,2016,63,MUS,271,0,61,0,0,1,0,0,0,0,0,0,0,1,0,Hindsley Symphonic Band,"Houser, Barry L",3.9206349206349205
Fall,2015,21,CMN,211,0,15,0,2,1,2,0,1,0,0,0,0,0,0,Business Communication,"Costello, Thomas J",3.6666666666666665
Fall,2020,34,UP,430,21,7,1,2,1,0,0,0,0,0,1,0,1,0,Urban Transportation Planning,"Braun, Lindsay M",3.7155882352941174
Fall,2010,157,PSYC,403,0,151,0,0,6,0,0,0,0,0,0,0,0,0,Memory and Amnesia,"Cohen, Neal J",3.961783439490446
Fall,2018,47,MBA,502,4,34,6,3,0,0,0,0,0,0,0,0,0,0,Marketing Management,"Noel, Hayden N",3.9151063829787236
Fall,2019,26,LAS,101,12,5,5,0,0,2,1,0,0,0,0,1,0,0,Design First Year Experience,"Soranso, Murillo S",3.641923076923077
Fall,2019,26,LAS,101,16,5,0,0,2,1,0,1,0,0,0,1,0,0,Design First Year Experience,"Soranso, Murillo S",3.666923076923077
