Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Fall,2017,31,ANSC,431,3,7,0,3,5,3,0,10,0,0,0,0,0,0,Advanced Reproductive Biology,"Nowak, Romana A",3.0000000000000004
Spring,2021,79,SE,101,1,26,16,9,11,5,1,2,1,1,0,1,5,0,Engineering Graphics & Design,"Goldstein, Molly H",3.2030379746835442
Fall,2012,23,PHYS,485,3,5,1,2,5,2,2,2,0,0,1,0,0,0,Atomic Phys & Quantum Theory,"Wiss, James E",3.1447826086956523
Spring,2019,66,SOC,375,0,18,20,6,9,4,1,5,3,0,0,0,0,0,Criminal Justice System,"Marshall, Anna-Maria",3.3393939393939394
Fall,2016,40,MUS,263,0,28,8,2,1,0,0,0,0,0,1,0,0,0,Men's Glee Club,"Coleman, Barrington L",3.8005000000000004
Spring,2017,30,ECON,440,3,8,4,5,5,4,0,0,1,0,0,0,0,0,Economics of Labor Markets,"Kim, GiSeung",3.4226666666666663
Fall,2016,91,CEE,300,0,5,5,13,24,14,14,12,2,0,2,0,0,0,Behavior of Materials,"Popovics, John S",2.78
Spring,2011,36,ECON,102,0,22,0,0,10,0,0,3,0,0,1,0,0,0,Microeconomic Principles,"Ay, Deniz",3.4722222222222223
Fall,2017,38,ECON,103,1,8,2,5,11,0,4,2,3,0,2,0,0,0,Macroeconomic Principles,"McDermott, Eric M",2.982105263157895
Fall,2013,31,CPSC,452,4,21,1,0,3,2,0,0,0,0,0,0,0,0,Evol Genetics and Genomics,"Hanzawa, Yoshie",3.8067741935483874
Fall,2014,31,CEE,483,0,13,4,0,6,0,0,6,0,0,2,0,0,0,Soil Mechanics and Behavior,"Mesri, Gholamreza",3.1832258064516132
Fall,2021,22,GEOG,407,1,14,5,2,0,0,0,0,0,0,0,0,0,0,CyberGIS & Geospatial Data Sci,"Padmanabhan, Anand",3.864090909090909
Fall,2017,28,ECE,527,5,9,6,4,3,1,0,0,0,0,0,0,0,0,System-On-Chip Design,"Chen, Deming",3.6789285714285715
Fall,2010,48,CHLH,101,0,12,0,0,25,0,0,10,0,0,1,0,0,0,Introduction to Public Health,"Holmes, Charles P",3.0
Fall,2018,78,CS,361,9,20,10,4,7,5,3,2,3,4,4,1,5,1,Prob & Stat for Computer Sci,"Varodayan, David",2.939740259740259
Spring,2015,32,GWS,100,1,3,6,4,7,4,2,2,0,1,0,0,2,0,Intro Gender & Women's Studies,"Callier, Durell M",2.9065625
Fall,2020,154,ECE,391,6,25,25,18,18,25,10,7,6,4,2,2,6,0,Computer Systems Engineering,"Kalbarczyk, Zbigniew T",2.9377922077922074
Fall,2019,23,ACCY,515,0,2,4,9,6,2,0,0,0,0,0,0,0,0,Auditing & Assurance Standards,"Zhou, Yuepin",3.303913043478261
Fall,2019,30,ADV,284,6,11,9,4,0,0,0,0,0,0,0,0,0,0,Consumer Insight,"Pham, Giang V",3.8116666666666665
Spring,2013,487,ATMS,100,54,138,63,58,90,28,18,11,6,3,4,2,10,2,Introduction to Meteorology,"Frame, Jeffrey",3.341030927835052
Fall,2021,45,HIST,277,6,23,9,3,2,0,1,1,0,0,0,0,0,0,Encounters in Native America,"Lehman, David B",3.7633333333333336
Fall,2013,36,LAW,633,0,9,4,10,9,4,0,0,0,0,0,0,0,0,Business Associations I,"Sharpe, Nicola F",3.3794444444444443
Spring,2021,31,CI,475,3,19,4,2,0,2,0,1,0,0,0,0,0,0,Teach Elem Rdg & Lang Arts I,"Sinha, Shuchi",3.7638709677419357
Spring,2014,22,DANC,410,0,5,6,2,2,2,1,2,0,0,1,0,1,0,Advanced Jazz Technique,"Gibson, Elijah",3.061363636363636
Spring,2017,81,CHLH,206,23,15,10,6,7,7,5,0,1,0,2,0,4,1,Human Sexuality,"Blackstone, Sarah R",3.296125
Fall,2015,30,MATH,500,6,10,7,4,2,1,0,0,0,0,0,0,0,0,Abstract Algebra I,"Nevins, Thomas A",3.7226666666666666
Fall,2016,26,GE,420,6,4,5,2,2,3,1,2,1,0,0,0,0,0,Digital Control Systems,"Stipanovic, Dusan M",3.346923076923077
Fall,2016,36,ECE,340,3,4,1,2,6,2,3,8,0,2,0,3,2,0,Semiconductor Electronics,"Gilbert, Matthew",2.4813888888888886
Spring,2019,40,SE,400,0,13,11,10,2,3,1,0,0,0,0,0,0,0,Engineering Law,"Barich, Joseph M",3.5502500000000006
Fall,2019,23,RHET,233,2,16,2,1,1,0,0,0,0,0,0,0,1,0,Adv Rhetoric & Composition,"Kranek, Allison A",3.7247826086956524
Spring,2010,24,GEOL,100,0,1,6,8,0,2,2,2,0,0,1,0,2,0,Planet Earth,"Wong, Karen J",2.8191666666666664
Spring,2022,30,CLCV,224,1,20,1,1,5,0,0,1,0,0,0,0,1,0,Amer Race&Ethnicity ClasicTrad,"Warnement, Sophia I",3.6
Spring,2020,30,REL,110,5,15,4,4,1,0,0,1,0,0,0,0,0,0,World Religions,"Ellingson, Hannah G",3.7666666666666666
Spring,2015,36,CHEM,530,0,12,6,5,10,3,0,0,0,0,0,0,0,0,Structure and Spectroscopy,"Fleming, Ian",3.463333333333333
Spring,2010,147,ECE,205,4,25,20,13,21,13,9,24,12,0,3,0,2,1,Elec & Electronic Circuits,"Zhang, Jianhua",2.893219178082192
Fall,2011,32,FIN,221,0,8,4,1,5,0,2,5,1,1,4,0,1,0,Corporate Finance,"Sun, Dongming",2.7084374999999996
Summer,2011,60,MBA,502,2,13,11,8,17,6,3,0,0,0,0,0,0,0,Foundations of Bus II-COMM,"Rybka, Kathryn M",3.3503333333333334
Spring,2019,42,MCB,465,7,11,8,4,1,5,0,0,0,0,4,2,0,0,Human Metabolic Disease,"Kemper, Kim J",3.246904761904762
Spring,2013,38,PHYS,100,1,7,1,9,8,0,4,5,0,1,0,1,0,1,Thinking About Physics,"Lundsgaard, Morten",2.998918918918919
Fall,2010,44,ACCY,303,12,15,10,5,2,0,0,0,0,0,0,0,0,0,Atg Institutions and Reg,"Keshk, Walied E",3.8034090909090907
Summer,2011,25,CI,472,0,24,0,0,1,0,0,0,0,0,0,0,0,0,Tchg Reading in Grades 4-12,"Dressman, Mark A",3.96
Winter,2019,67,BADM,300,8,22,15,6,8,1,0,4,2,0,0,0,0,1,The Legal Environment of Bus,"Fricke, Michael R",3.5309090909090908
Spring,2017,33,NRES,474,1,4,8,8,5,4,1,1,1,0,0,0,0,0,Soil and Water Conservation,"Wander, Michelle M",3.263030303030303
Spring,2015,33,ACCY,303,5,11,3,3,3,4,0,1,2,0,0,1,0,0,Atg Institutions and Reg,"Schwartz, Rachel",3.3542424242424245
Spring,2021,116,PS,101,37,28,14,9,5,4,3,5,1,0,1,2,7,0,Intro to US Gov & Pol,"Sin, Gisela",3.345086206896552
Fall,2013,22,ENGL,109,0,4,5,6,1,2,1,1,0,0,0,0,2,0,Intro to Fiction-ACP,"Rosell, Carla B",3.0454545454545454
Fall,2014,33,ACCY,302,1,8,6,3,12,1,2,0,0,0,0,0,0,0,Decision Making for Atg,"Chen, Xiaoling",3.3739393939393936
Spring,2015,22,MATH,347,1,0,3,3,0,5,3,0,3,0,2,0,2,0,Fundamental Mathematics,"Schaposnik Mass, Laura Pa",2.3795454545454544
Fall,2011,42,ARTH,403,0,7,10,3,5,6,3,6,0,1,0,0,0,1,Word and Image in Chinese Art,"Burkus-Chasson, Anne",3.07390243902439
Summer,2011,64,MATH,415,17,5,12,10,5,4,3,4,0,0,0,0,4,0,Applied Linear Algebra,"Sabok, Marcin K",3.21890625
Spring,2017,27,CHEM,103,8,8,0,2,2,3,0,0,1,0,1,1,1,0,General Chemistry Lab I,"Yoakum, Daniel M",3.2596296296296297
Fall,2017,285,SPED,117,0,269,0,0,15,0,0,0,0,0,0,0,1,0,The Culture of Disability,"Bentz, Johnell L",3.933333333333333
Spring,2016,47,BIOE,436,6,37,2,2,0,0,0,0,0,0,0,0,0,0,Senior Design II,"Amos, Jennifer",3.9574468085106385
Fall,2015,29,SOC,480,6,7,6,3,2,2,2,1,0,0,0,0,0,0,Methods of Field Research,"Zerai, Assata",3.5175862068965515
Spring,2018,22,MCB,354,2,1,1,1,2,3,1,3,2,4,0,2,0,0,Biochem & Phys Basis of Life,"Stenger, Alejandra L",2.3336363636363635
Spring,2020,35,ECON,203,3,4,3,4,6,4,3,2,3,0,0,0,3,0,Economic Statistics II,"Ozkul, Olgu",2.7717142857142854
Spring,2018,34,PHYS,569,12,11,7,0,2,0,0,2,0,0,0,0,0,0,Emergent States of Matter,"Goldenfeld, Nigel D",3.7555882352941174
Spring,2013,26,RLST,110,0,7,4,1,4,3,0,2,5,0,0,0,0,0,World Religions,"Evers, John R",3.014230769230769
Fall,2018,25,JOUR,200,0,6,5,0,13,0,0,1,0,0,0,0,0,0,Introduction to Journalism,"Holden, Benjamin A",3.3339999999999996
Spring,2018,255,MATH,231,35,38,23,15,39,21,20,16,12,17,8,3,8,0,Calculus II,"Petrickova, Sarka",2.865450980392157
Spring,2019,40,ECON,460,3,7,2,13,7,6,2,0,0,0,0,0,0,0,Financial Economics,"Gao, Xing",3.30775
Summer,2010,23,IS,504,10,10,2,1,0,0,0,0,0,0,0,0,0,0,Reference and Info Services,"Wong, Melissa A",3.9421739130434785
Fall,2013,30,HORT,107,0,8,9,5,5,2,1,0,0,0,0,0,0,0,Introduction to Floral Design,"Noland, Dianne A",3.4783333333333335
Fall,2014,293,PHYS,212,20,31,30,20,32,31,21,22,27,13,18,22,5,1,University Physics: Elec & Mag,"Mason, Nadya",2.56
Spring,2010,227,EPSY,201,27,136,24,20,15,1,0,1,0,0,0,3,0,0,Educational Psychology,"Zola, David",3.781321585903084
Spring,2017,167,CS,440,3,52,3,0,54,2,0,49,0,0,3,0,1,0,Artificial Intelligence,"DeJong, Gerald F",2.990119760479042
Spring,2010,38,BADM,381,0,4,8,16,7,2,0,1,0,0,0,0,0,0,Multinational Management,"Cheng, Joseph L",3.341578947368421
Fall,2011,90,CEE,300,0,6,11,22,27,11,6,3,0,0,0,0,3,1,Behavior of Materials,"Popovics, John S",3.0110112359550563
Spring,2019,73,STAT,410,5,18,24,11,6,2,0,4,0,0,0,0,3,0,Statistics and Probability II,"Yang, Yun",3.3979452054794517
Fall,2010,53,BADM,573,4,10,9,5,21,2,2,0,0,0,0,0,0,0,Quant Analysis of Decisions,"Kwon, Hyok-Jon D",3.3713207547169812
Fall,2014,23,LAS,101,7,12,0,3,1,0,0,0,0,0,0,0,0,0,Freshman Seminar,"Hoffman, Ruth A",3.8691304347826083
Spring,2020,56,CEE,526,12,29,10,5,0,0,0,0,0,0,0,0,0,0,Construction Optimization,"El-Rayes, Khaled A",3.88125
Spring,2014,21,MATH,348,6,3,2,3,2,2,0,1,1,0,0,0,1,0,Fundamental Mathematics-ACP,"Schaposnik Mass, Laura Pa",3.2542857142857144
Summer,2012,30,ECE,205,5,0,4,4,9,3,4,0,0,1,0,0,0,0,Elec & Electronic Circuits,"Mohamed, Mohamed Y",3.1220000000000003
Fall,2021,29,THEA,101,14,3,1,1,3,1,0,1,1,0,0,0,4,0,Introduction to Theatre Arts,"Miller, Thomas J",3.1151724137931036
Fall,2015,34,LER,568,0,7,10,4,11,2,0,0,0,0,0,0,0,0,Firm Performance and HR,"Weaver, Andrew",3.422352941176471
Fall,2012,60,IB,360,3,20,0,3,22,0,1,8,0,0,2,0,1,0,Evolution and Human Health,"Sears, Karen",3.138666666666667
Fall,2016,37,ECON,203,5,3,4,1,6,2,4,5,2,2,2,0,1,0,Economic Statistics II,"Arango Isaza, Mauricio",2.7208108108108107
Spring,2014,207,TAM,212,11,18,20,29,37,30,24,13,11,2,4,2,6,0,Introductory Dynamics,"Ertekin, Elif",2.827826086956522
Fall,2015,28,SOCW,410,7,11,6,4,0,0,0,0,0,0,0,0,0,0,Social Welfare Pol and Svcs,"Wegmann, Kate M",3.8335714285714286
Fall,2013,23,BTW,261,4,4,3,0,8,0,0,1,0,0,2,1,0,0,Principles Tech Comm,"Hechler, William D",3.1165217391304343
Spring,2013,22,CMN,220,0,11,0,2,6,1,1,1,0,0,0,0,0,0,Communicating Public Policy,"Lowe, Marissa E",3.439090909090909
Spring,2021,41,ECON,490,4,9,8,4,6,1,2,1,1,0,2,0,3,0,Applied Machine Learning: Econ,"Wade, John Julian P",3.0653658536585366
Spring,2013,25,GEOL,107,0,8,5,3,3,3,1,1,0,1,0,0,0,0,Physical Geology,"Long, Ann D",3.3204000000000002
Fall,2018,53,STAT,525,5,39,6,2,0,1,0,0,0,0,0,0,0,0,Computational Statistics,"Chen, Yuguo",3.912264150943396
Spring,2016,43,ME,370,1,8,13,11,6,1,2,1,0,0,0,0,0,0,Mechanical Design I,"van der Zande, Arend",3.4341860465116274
Fall,2012,24,GWS,355,0,14,6,1,0,0,0,0,1,0,1,0,1,0,Beauty & Makeovers,"Gill, Patricia A",3.500833333333333
Spring,2018,50,KIN,104,0,34,0,0,9,0,0,2,0,0,2,0,3,0,Skating Activities,"Park, Doo Jae",3.38
Spring,2018,83,PHYS,486,8,15,10,10,6,8,8,4,6,3,2,0,3,0,Quantum Physics I,"Makins, Naomi C",2.9398795180722894
Fall,2019,95,HORT,105,70,12,0,4,2,0,2,0,0,0,2,3,0,0,Vegetable Gardening,"Harper, Erin E",3.747263157894737
Fall,2011,33,LER,590,0,18,12,1,2,0,0,0,0,0,0,0,0,0,Collect Bargain Sports & Enter,"Leroy, Michael H",3.799090909090909
Fall,2013,49,BADM,377,0,19,9,8,10,2,1,0,0,0,0,0,0,0,Project Management,"Taghaboni-Dutta, Fataneh",3.5375510204081637
Fall,2017,82,CEE,300,0,4,8,19,23,12,6,5,3,0,1,0,1,0,Behavior of Materials,"Popovics, John S",2.922682926829268
Spring,2019,61,NRES,456,20,6,10,5,5,7,4,0,1,1,1,0,1,0,Integrative Ecosystem Mgmt,"Miller, James R",3.350163934426229
Spring,2010,26,ECON,563,1,5,11,8,1,0,0,0,0,0,0,0,0,0,Monetary Theory,"Zhao, Rui",3.615769230769231
Fall,2018,32,ACCY,303,9,6,3,4,3,1,2,3,0,0,1,0,0,0,Atg Institutions and Reg,"Hamm, Brian K",3.3643750000000003
Fall,2013,39,STAT,440,3,10,11,6,6,2,1,0,0,0,0,0,0,0,Statistical Data Management,"Unger, David",3.53897435897436
Summer,2019,45,PHYS,212,5,5,5,3,4,5,8,2,1,1,2,4,0,0,University Physics: Elec & Mag,"Chamberlain, Robert T",2.755777777777778
Spring,2011,24,MCB,253,0,2,6,8,7,1,0,0,0,0,0,0,0,0,Exp Techniqs in Cellular Biol,"Good, Elizabeth A",3.3470833333333334
Fall,2014,29,ECON,202,1,6,0,2,10,0,1,7,0,0,2,0,0,0,Economic Statistics I,"Schultz, Colleen",2.8617241379310343
Spring,2020,37,ECON,203,3,6,4,5,7,1,2,5,2,0,0,0,2,0,Economic Statistics II,"Gualavisi Diaz, Melany A",2.945945945945946
Fall,2011,69,SPED,405,2,46,5,5,8,2,0,1,0,0,0,0,0,0,Gen Educator's Role in SPED,"Monda-Amaya, Lisa E",3.7440579710144926
Fall,2012,52,ARCH,199,18,11,13,2,5,0,0,2,0,0,0,0,0,1,Undergraduate Open Seminar,"Mink, Barry L",3.713137254901961
Spring,2018,48,IE,330,2,4,6,5,6,7,5,5,4,0,2,1,1,0,Industrial Quality Control,"King, Douglas M",2.715833333333333
Spring,2020,35,SOC,275,2,19,9,1,3,0,0,1,0,0,0,0,0,0,Criminology,"Lee, Meggan J",3.7531428571428576
